route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"99-11-r11-1","TA+b00kl","312.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00kl","313.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b008i","316.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00gl","317.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b008i","318.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00gl","319.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00kl","32.TA.99-11-r11-1.1.O","99-11-r11-1.1.O","","0"
"99-11-r11-1","TA+b008i","320.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00a0","321.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b008i","322.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00gl","323.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b008i","324.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00a0","325.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b008i","326.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00gl","327.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b008i","328.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00a0","329.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00kl","33.TA.99-11-r11-1.1.O","99-11-r11-1.1.O","","0"
"99-11-r11-1","TA+b008i","330.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00gl","331.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b008i","332.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00gl","333.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00gl","334.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00gl","335.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00gl","336.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00gl","337.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00gl","338.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00gl","339.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00kl","34.TA.99-11-r11-1.1.O","99-11-r11-1.1.O","","0"
"99-11-r11-1","TA+b00gl","340.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00a0","341.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00gl","342.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
