route_id,agency_id,route_short_name,route_long_name,route_type
"10-715-e19-1","01","715","Drogheda Bus Station - Ardee By Pass","3"
"10-715-e20-1","01","715","Drogheda Bus Station - Ardee By Pass","3"
"10-716-e19-1","01","716","Commons Road - Metges Road","3"
"10-716-e20-1","01","716","Commons Road - Metges Road","3"
"10-717-e19-1","01","717","Commons Road - Aisling Place","3"
"10-717-e20-1","01","717","Commons Road - Aisling Place","3"
"10-718-e19-1","01","718","Colpe Road - Ballymakenny College","3"
"10-718-e20-1","01","718","Colpe Road - Ballymakenny College","3"
"10-719-e19-1","01","719","Colpe Road - Termonabbey (Aston Village)","3"
"10-719-e20-1","01","719","Colpe Road - Termonabbey (Aston Village)","3"
"10-720-e19-1","01","720","St. Patrick Street (O2 Store) - Lwr Connolly Rd (Opp Connolly Green)","3"
"10-720-e20-1","01","720","St. Patrick Street (O2 Store) - Lwr Connolly Rd (Opp Connolly Green)","3"
"10-721-e19-1","01","721","Mahon Point (Jacobs Island) - South Mall (V.H.I. House)","3"
"10-721-e20-1","01","721","Mahon Point (Jacobs Island) - South Mall (V.H.I. House)","3"
"10-722-2-e19-1","01","722-2","Raheen (Opposite Raheen Church) - Stables University of Limerick","3"
"10-722-2-e20-1","01","722-2","Raheen (Opposite Raheen Church) - Stables University of Limerick","3"
"10-722-e19-1","01","722","Wicklow Gaol - Busáras","3"
"10-722-e20-1","01","722","Wicklow Gaol - Busáras","3"
"10-723-e19-1","01","723","Raheen (Opposite Raheen Church) - Limerick Bus Station","3"
"10-723-e20-1","01","723","Raheen (Opposite Raheen Church) - Limerick Bus Station","3"
"10-724-e19-1","01","724","Cork Merchants Quay - Glenthorn","3"
"10-724-e20-1","01","724","Cork Merchants Quay - Glenthorn","3"
"10-727-e19-1","01","727","Drogheda Bus Station - Bus Stop at Train Station","3"
"10-727-e20-1","01","727","Drogheda Bus Station - Bus Stop at Train Station","3"
"10-728-e19-1","01","728","Drogheda Bus Station - Bus Stop at Train Station","3"
"10-728-e20-1","01","728","Drogheda Bus Station - Bus Stop at Train Station","3"
"10-729-e19-1","01","729","Town Car Park - Cork Institute of Technology","3"
